Fecha,Casos nuevos históricos,Recuperados nuevos históricos,Fallecidos nuevos históricos
2020-12-07,70.0,44.0,0.0
2020-12-08,18.0,25.0,0.0
2020-12-09,27.0,28.0,0.0
2020-12-10,34.0,24.0,1.0
2020-12-11,51.0,20.0,0.0
2020-12-12,2.0,39.0,2.0
2020-12-13,82.0,61.0,0.0
2020-12-14,51.0,47.0,2.0
2020-12-15,72.0,34.0,0.0
2020-12-16,76.0,38.0,0.0
2020-12-17,82.0,31.0,2.0
2020-12-18,54.0,30.0,2.0
2020-12-19,61.0,53.0,1.0
2020-12-20,67.0,38.0,2.0
2020-12-21,64.0,61.0,0.0
2020-12-22,94.0,63.0,0.0
2020-12-23,64.0,63.0,0.0
2020-12-24,91.0,67.0,2.0
2020-12-25,93.0,48.0,0.0
2020-12-26,97.0,81.0,0.0
2020-12-27,101.0,71.0,1.0
2020-12-28,64.0,83.0,0.0
2020-12-29,78.0,68.0,0.0
2020-12-30,124.0,81.0,0.0
2020-12-31,78.0,78.0,9.0
2021-01-01,163.0,78.0,3.0
2021-01-02,110.0,108.0,2.0
2021-01-03,102.0,79.0,1.0
2021-01-04,103.0,126.0,0.0
2021-01-05,226.0,84.0,1.0
2021-01-06,137.0,93.0,0.0
2021-01-07,128.0,89.0,5.0
2021-01-08,269.0,84.0,2.0
2021-01-09,182.0,182.0,2.0
2021-01-10,184.0,179.0,3.0
2021-01-11,173.0,160.0,2.0
2021-01-12,202.0,136.0,0.0
2021-01-13,193.0,136.0,0.0
2021-01-14,280.0,124.0,4.0
2021-01-15,240.0,176.0,2.0
2021-01-16,149.0,250.0,3.0
2021-01-17,231.0,226.0,1.0
2021-01-18,200.0,247.0,4.0
2021-01-19,176.0,223.0,0.0
2021-01-20,240.0,219.0,0.0
2021-01-21,220.0,168.0,6.0
2021-01-22,156.0,143.0,5.0
2021-01-23,160.0,255.0,2.0
2021-01-24,174.0,199.0,4.0
2021-01-25,153.0,198.0,2.0
2021-01-26,119.0,197.0,0.0
2021-01-27,196.0,175.0,0.0
2021-01-28,127.0,146.0,8.0
2021-01-29,190.0,107.0,6.0
2021-01-30,120.0,188.0,1.0
2021-01-31,136.0,183.0,1.0
2021-02-01,84.0,159.0,3.0
2021-02-02,379.0,304.0,0.0
2021-02-03,152.0,192.0,-1.0
2021-02-04,160.0,151.0,11.0
2021-02-05,119.0,88.0,1.0
2021-02-06,133.0,203.0,4.0
2021-02-07,108.0,160.0,4.0
2021-02-08,133.0,150.0,3.0
2021-02-09,114.0,130.0,0.0
2021-02-10,100.0,134.0,0.0
2021-02-11,120.0,100.0,3.0
2021-02-12,137.0,81.0,2.0
2021-02-13,135.0,152.0,3.0
2021-02-14,138.0,139.0,1.0
2021-02-15,104.0,128.0,3.0
2021-02-16,93.0,100.0,0.0
2021-02-17,74.0,82.0,0.0
2021-02-18,191.0,113.0,3.0
2021-02-19,108.0,60.0,4.0
2021-02-20,117.0,152.0,2.0
2021-02-21,126.0,140.0,3.0
2021-02-22,99.0,139.0,4.0
2021-02-23,97.0,145.0,1.0
2021-02-24,62.0,120.0,0.0
2021-02-25,184.0,93.0,7.0
2021-02-26,115.0,108.0,4.0
2021-02-27,126.0,141.0,3.0
2021-02-28,98.0,109.0,9.0
2021-03-01,55.0,98.0,1.0
2021-03-02,57.0,88.0,0.0
2021-03-03,106.0,127.0,1.0
2021-03-04,122.0,103.0,10.0
2021-03-05,120.0,50.0,6.0
2021-03-06,12.0,130.0,2.0
2021-03-07,19.0,104.0,1.0
2021-03-08,40.0,112.0,4.0
2021-03-09,94.0,91.0,0.0
2021-03-10,323.0,110.0,0.0
2021-03-11,132.0,76.0,8.0
2021-03-12,162.0,70.0,5.0
2021-03-13,162.0,141.0,2.0
2021-03-14,176.0,118.0,5.0
2021-03-15,111.0,121.0,1.0
2021-03-16,74.0,112.0,0.0
2021-03-17,77.0,113.0,0.0
2021-03-18,168.0,62.0,6.0
2021-03-19,149.0,100.0,2.0
2021-03-20,125.0,139.0,3.0
2021-03-21,159.0,135.0,0.0
2021-03-22,155.0,160.0,2.0
2021-03-23,155.0,137.0,0.0
2021-03-24,173.0,116.0,0.0
2021-03-25,207.0,81.0,4.0
2021-03-26,187.0,127.0,1.0
2021-03-27,173.0,174.0,1.0
2021-03-28,162.0,143.0,1.0
2021-03-29,84.0,157.0,11.0
2021-03-30,141.0,149.0,1.0
2021-03-31,224.0,183.0,0.0
2021-04-01,231.0,158.0,6.0
2021-04-02,167.0,117.0,6.0
2021-04-03,202.0,231.0,3.0
2021-04-04,164.0,178.0,6.0
2021-04-05,108.0,150.0,0.0
2021-04-06,160.0,184.0,3.0
2021-04-07,233.0,162.0,0.0
2021-04-08,219.0,165.0,12.0
2021-04-09,238.0,123.0,6.0
2021-04-10,193.0,142.0,3.0
2021-04-11,164.0,211.0,7.0
2021-04-12,140.0,174.0,6.0
2021-04-13,181.0,210.0,0.0
2021-04-14,147.0,157.0,0.0
2021-04-15,216.0,145.0,8.0
2021-04-16,182.0,120.0,5.0
2021-04-17,164.0,185.0,2.0
2021-04-18,154.0,211.0,2.0
2021-04-19,110.0,186.0,0.0
2021-04-20,144.0,172.0,0.0
2021-04-21,192.0,193.0,0.0
2021-04-22,181.0,179.0,9.0
2021-04-23,144.0,109.0,2.0
2021-04-24,114.0,183.0,1.0
2021-04-25,134.0,183.0,2.0
2021-04-26,146.0,125.0,4.0
2021-04-27,131.0,147.0,0.0
2021-04-28,150.0,145.0,1.0
2021-04-29,167.0,131.0,7.0
2021-04-30,147.0,49.0,3.0
2021-05-01,132.0,143.0,1.0
2021-05-02,135.0,147.0,5.0
2021-05-03,135.0,125.0,2.0
2021-05-04,71.0,166.0,0.0
2021-05-05,101.0,122.0,0.0
2021-05-06,115.0,137.0,7.0
2021-05-07,159.0,117.0,3.0
2021-05-08,151.0,175.0,3.0
2021-05-09,104.0,136.0,3.0
2021-05-10,96.0,120.0,0.0
2021-05-11,124.0,132.0,0.0
2021-05-12,49.0,126.0,0.0
2021-05-13,105.0,91.0,5.0
2021-05-14,165.0,82.0,2.0
2021-05-15,99.0,141.0,1.0
2021-05-16,102.0,116.0,2.0
2021-05-17,112.0,168.0,1.0
2021-05-18,76.0,94.0,0.0
2021-05-19,90.0,102.0,0.0
2021-05-20,136.0,92.0,6.0
2021-05-21,99.0,81.0,2.0
2021-05-22,87.0,122.0,4.0
2021-05-23,89.0,100.0,0.0
2021-05-24,72.0,115.0,0.0
2021-05-25,55.0,105.0,0.0
2021-05-26,43.0,83.0,0.0
2021-05-27,123.0,65.0,7.0
2021-05-28,116.0,63.0,0.0
2021-05-29,112.0,123.0,1.0
2021-05-30,92.0,95.0,3.0
2021-05-31,94.0,94.0,3.0
2021-06-01,68.0,86.0,0.0
2021-06-02,57.0,82.0,0.0
2021-06-03,86.0,64.0,5.0
2021-06-04,75.0,65.0,2.0
2021-06-05,83.0,78.0,1.0
2021-06-06,78.0,87.0,1.0
2021-06-07,76.0,74.0,2.0
2021-06-08,80.0,104.0,3.0
2021-06-09,61.0,99.0,0.0
2021-06-10,99.0,63.0,4.0
2021-06-11,104.0,33.0,4.0
2021-06-12,92.0,80.0,4.0
2021-06-13,66.0,101.0,2.0
2021-06-14,77.0,80.0,3.0
2021-06-15,48.0,72.0,0.0
2021-06-16,53.0,74.0,0.0
2021-06-17,117.0,64.0,5.0
2021-06-18,90.0,55.0,1.0
2021-06-19,104.0,101.0,3.0
2021-06-20,73.0,100.0,2.0
2021-06-21,53.0,83.0,1.0
2021-06-22,61.0,56.0,0.0
2021-06-23,28.0,70.0,0.0
2021-06-24,52.0,61.0,0.0
2021-06-25,69.0,60.0,4.0
2021-06-26,84.0,110.0,3.0
2021-06-27,51.0,72.0,2.0
2021-06-28,55.0,75.0,7.0
2021-06-29,63.0,72.0,0.0
2021-06-30,29.0,64.0,0.0
2021-07-01,34.0,39.0,0.0
2021-07-02,58.0,41.0,5.0
2021-07-03,45.0,50.0,2.0
2021-07-04,58.0,56.0,2.0
2021-07-05,61.0,69.0,3.0
2021-07-06,33.0,55.0,0.0
2021-07-07,29.0,61.0,0.0
2021-07-08,60.0,59.0,5.0
2021-07-09,60.0,15.0,0.0
2021-07-10,41.0,35.0,1.0
2021-07-11,35.0,35.0,4.0
2021-07-12,31.0,50.0,2.0
2021-07-13,26.0,45.0,0.0
2021-07-14,18.0,49.0,0.0
2021-07-15,46.0,76.0,5.0
2021-07-16,37.0,88.0,1.0
2021-07-17,22.0,85.0,1.0
2021-07-18,20.0,22.0,0.0
2021-07-19,18.0,29.0,0.0
2021-07-20,19.0,103.0,0.0
2021-07-21,22.0,74.0,0.0
2021-07-22,35.0,64.0,4.0
2021-07-23,28.0,27.0,3.0
2021-07-24,30.0,34.0,0.0
2021-07-25,25.0,29.0,1.0
2021-07-26,34.0,26.0,3.0
2021-07-27,10.0,21.0,0.0
2021-07-28,8.0,15.0,0.0
2021-07-29,40.0,22.0,4.0
2021-07-30,29.0,16.0,3.0
2021-07-31,46.0,33.0,0.0
2021-08-01,23.0,22.0,2.0
2021-08-02,18.0,23.0,3.0
2021-08-03,42.0,24.0,0.0
2021-08-04,15.0,51.0,0.0
2021-08-05,26.0,8.0,4.0
2021-08-06,40.0,44.0,1.0
2021-08-07,30.0,37.0,1.0
2021-08-08,20.0,33.0,0.0
2021-08-09,23.0,30.0,1.0
2021-08-10,28.0,25.0,0.0
2021-08-11,19.0,34.0,0.0
2021-08-12,72.0,69.0,2.0
2021-08-13,15.0,0.0,0.0
2021-08-14,21.0,31.0,1.0
2021-08-15,20.0,25.0,0.0
2021-08-16,16.0,33.0,1.0
2021-08-17,11.0,13.0,0.0
2021-08-18,16.0,41.0,0.0
2021-08-19,18.0,0.0,1.0
2021-08-20,21.0,9.0,0.0
2021-08-21,24.0,81.0,1.0
2021-08-22,20.0,22.0,0.0
2021-08-23,21.0,13.0,1.0
2021-08-24,5.0,19.0,0.0
2021-08-25,4.0,16.0,0.0
2021-08-26,24.0,11.0,1.0
2021-08-27,16.0,14.0,1.0
2021-08-28,13.0,19.0,0.0
2021-08-29,23.0,17.0,0.0
2021-08-30,17.0,18.0,0.0
2021-08-31,4.0,26.0,0.0
2021-09-01,15.0,36.0,0.0
2021-09-02,15.0,6.0,0.0
2021-09-03,8.0,6.0,2.0
2021-09-04,18.0,15.0,0.0
2021-09-05,13.0,12.0,0.0
2021-09-06,12.0,13.0,0.0
2021-09-07,7.0,16.0,0.0
2021-09-08,8.0,13.0,1.0
2021-09-09,10.0,5.0,0.0
2021-09-10,22.0,11.0,0.0
2021-09-11,14.0,8.0,0.0
2021-09-12,11.0,10.0,2.0
2021-09-13,20.0,16.0,0.0
2021-09-14,13.0,11.0,0.0
2021-09-15,17.0,15.0,0.0
2021-09-16,31.0,9.0,0.0
2021-09-17,21.0,9.0,0.0
2021-09-18,30.0,8.0,0.0
2021-09-19,16.0,13.0,0.0
2021-09-20,7.0,9.0,0.0
2021-09-21,4.0,13.0,0.0
2021-09-22,10.0,20.0,0.0
2021-09-23,23.0,18.0,1.0
2021-09-24,28.0,22.0,0.0
2021-09-25,18.0,22.0,1.0
2021-09-26,17.0,17.0,0.0
2021-09-27,20.0,24.0,0.0
2021-09-28,30.0,31.0,0.0
2021-09-29,13.0,1.0,0.0
2021-09-30,30.0,7.0,0.0
2021-10-01,36.0,31.0,0.0
2021-10-02,21.0,20.0,0.0
2021-10-03,23.0,7.0,0.0
2021-10-04,41.0,17.0,0.0
2021-10-05,31.0,46.0,0.0
2021-10-06,17.0,17.0,0.0
2021-10-07,47.0,18.0,0.0
2021-10-08,18.0,35.0,0.0
2021-10-09,42.0,25.0,0.0
2021-10-10,17.0,28.0,0.0
2021-10-11,36.0,36.0,0.0
2021-10-12,22.0,39.0,0.0
2021-10-13,42.0,21.0,0.0
2021-10-14,22.0,22.0,0.0
2021-10-15,27.0,25.0,0.0
2021-10-16,48.0,26.0,0.0
2021-10-17,46.0,29.0,0.0
2021-10-18,28.0,29.0,0.0
2021-10-19,43.0,27.0,0.0
2021-10-20,12.0,28.0,0.0
2021-10-21,39.0,27.0,0.0
2021-10-22,45.0,23.0,0.0
2021-10-23,51.0,50.0,0.0
2021-10-24,34.0,45.0,0.0
2021-10-25,31.0,27.0,0.0
2021-10-26,45.0,31.0,0.0
2021-10-27,45.0,21.0,0.0
2021-10-28,46.0,28.0,0.0
2021-10-29,74.0,49.0,0.0
2021-10-30,24.0,41.0,0.0
2021-10-31,62.0,42.0,1.0
2021-11-01,37.0,39.0,0.0
2021-11-02,43.0,51.0,0.0
2021-11-03,23.0,26.0,0.0
2021-11-04,37.0,29.0,0.0
2021-11-05,32.0,48.0,0.0
2021-11-06,70.0,42.0,0.0
2021-11-07,40.0,36.0,0.0
2021-11-08,55.0,45.0,0.0
2021-11-09,50.0,35.0,0.0
2021-11-10,45.0,18.0,0.0
2021-11-11,67.0,52.0,0.0
2021-11-12,67.0,67.0,0.0
2021-11-13,50.0,68.0,0.0
2021-11-14,63.0,61.0,0.0
2021-11-15,40.0,47.0,1.0
2021-11-16,37.0,42.0,0.0
2021-11-17,40.0,77.0,0.0
2021-11-18,61.0,54.0,0.0
2021-11-19,93.0,108.0,0.0
2021-11-20,70.0,57.0,1.0
2021-11-21,74.0,67.0,0.0
2021-11-22,47.0,37.0,1.0
2021-11-23,23.0,94.0,0.0
2021-11-24,45.0,82.0,0.0
2021-11-25,61.0,36.0,1.0
2021-11-26,64.0,59.0,0.0
2021-11-27,59.0,38.0,1.0
2021-11-28,39.0,48.0,0.0
2021-11-29,32.0,46.0,0.0
2021-11-30,21.0,34.0,0.0
2021-12-01,24.0,34.0,0.0
2021-12-02,55.0,33.0,0.0
2021-12-03,27.0,61.0,0.0
2021-12-04,25.0,36.0,0.0
2021-12-05,21.0,44.0,0.0
2021-12-06,22.0,43.0,1.0
2021-12-07,25.0,25.0,0.0
2021-12-08,37.0,35.0,0.0
2021-12-09,20.0,18.0,1.0
2021-12-10,13.0,26.0,1.0
2021-12-11,25.0,32.0,0.0
2021-12-12,20.0,23.0,1.0
2021-12-13,33.0,15.0,1.0
2021-12-14,18.0,17.0,0.0
2021-12-15,29.0,35.0,0.0
2021-12-16,15.0,10.0,1.0
2021-12-17,36.0,33.0,2.0
2021-12-18,27.0,20.0,1.0
2021-12-19,33.0,20.0,0.0
2021-12-20,21.0,16.0,0.0
2021-12-21,20.0,28.0,0.0
2021-12-22,19.0,32.0,0.0
2021-12-23,27.0,14.0,2.0
2021-12-24,23.0,24.0,1.0
2021-12-25,33.0,24.0,0.0
2021-12-26,24.0,23.0,0.0
2021-12-27,27.0,24.0,0.0
2021-12-28,33.0,39.0,0.0
2021-12-29,68.0,26.0,0.0
2021-12-30,104.0,14.0,1.0
2021-12-31,165.0,22.0,0.0
2022-01-01,206.0,24.0,0.0
2022-01-02,293.0,39.0,0.0
2022-01-03,127.0,29.0,1.0
2022-01-04,92.0,44.0,0.0
2022-01-05,216.0,49.0,0.0
2022-01-06,352.0,85.0,0.0
2022-01-07,444.0,156.0,0.0
2022-01-08,555.0,168.0,1.0
2022-01-09,526.0,186.0,1.0
2022-01-10,653.0,260.0,0.0
2022-01-11,646.0,236.0,0.0
2022-01-12,615.0,185.0,0.0
2022-01-13,825.0,225.0,2.0
2022-01-14,881.0,526.0,2.0
2022-01-15,1136.0,563.0,1.0
2022-01-16,877.0,614.0,0.0
2022-01-17,982.0,627.0,3.0
2022-01-18,944.0,755.0,0.0
2022-01-19,974.0,771.0,0.0
2022-01-20,924.0,580.0,2.0
2022-01-21,1327.0,4133.0,2.0
2022-01-22,943.0,972.0,2.0
2022-01-23,995.0,1087.0,0.0
2022-01-24,984.0,896.0,0.0
2022-01-25,1070.0,1514.0,0.0
2022-01-26,1176.0,1280.0,0.0
2022-01-27,979.0,951.0,5.0
2022-01-28,919.0,940.0,4.0
2022-01-29,946.0,934.0,6.0
2022-01-30,885.0,812.0,5.0
2022-01-31,741.0,656.0,2.0
2022-02-01,428.0,1181.0,0.0
2022-02-02,465.0,906.0,0.0
2022-02-03,701.0,896.0,13.0
2022-02-04,521.0,682.0,3.0
2022-02-05,510.0,703.0,2.0
2022-02-06,389.0,531.0,0.0
2022-02-07,309.0,359.0,1.0
2022-02-08,185.0,645.0,0.0
2022-02-09,286.0,588.0,0.0
2022-02-10,349.0,457.0,18.0
2022-02-11,342.0,361.0,4.0
2022-02-12,256.0,344.0,0.0
2022-02-13,209.0,270.0,3.0
2022-02-14,172.0,204.0,0.0
2022-02-15,150.0,361.0,0.0
2022-02-16,165.0,314.0,0.0
2022-02-17,220.0,275.0,6.0
2022-02-18,228.0,241.0,3.0
2022-02-19,188.0,183.0,2.0
2022-02-20,138.0,188.0,6.0
2022-02-21,101.0,110.0,3.0
2022-02-22,115.0,201.0,0.0
2022-02-23,149.0,214.0,0.0
2022-02-24,147.0,183.0,5.0
2022-02-25,112.0,156.0,2.0
2022-02-26,150.0,126.0,2.0
2022-02-27,82.0,124.0,2.0
2022-02-28,91.0,96.0,0.0
2022-03-01,65.0,170.0,0.0
2022-03-02,90.0,149.0,0.0
2022-03-03,159.0,129.0,5.0
2022-03-04,96.0,104.0,1.0
2022-03-05,92.0,92.0,1.0
2022-03-06,111.0,96.0,0.0
2022-03-07,76.0,81.0,0.0
2022-03-08,61.0,175.0,0.0
2022-03-09,67.0,176.0,0.0
2022-03-10,103.0,12.0,1.0
2022-03-11,96.0,86.0,4.0
2022-03-12,65.0,112.0,0.0
